Region,Constituency,Registered_Voters,Votes_Cast,Candidate,Party,Votes_Received,Rank
Maharashtra,MAH-03,126120,78395,Candidate B-03,Party B,26295,2
Maharashtra,MAH-03,126120,78395,Candidate C-03,Party C,18980,3
Maharashtra,MAH-04,110216,74861,Candidate A-04,Party A,35881,1
Maharashtra,MAH-04,110216,74861,Candidate B-04,Party B,24304,2
Maharashtra,MAH-04,110216,74861,Candidate C-04,Party C,14676,3
Maharashtra,MAH-05,121256,97465,Candidate B-05,Party B,34630,1
Maharashtra,MAH-05,121256,97465,Candidate C-05,Party C,33395,2
Maharashtra,MAH-05,121256,97465,Candidate A-05,Party A,29440,3
Maharashtra,MAH-06,129676,105043,Candidate A-06,Party A,45710,1
Maharashtra,MAH-06,129676,105043,Candidate B-06,Party B,38128,2
Maharashtra,MAH-06,129676,105043,Candidate C-06,Party C,21205,3
Gujarat,GUJ-01,107293,65341,Candidate A-01,Party A,24715,1
Gujarat,GUJ-01,107293,65341,Candidate B-01,Party B,20425,2
Gujarat,GUJ-01,107293,65341,Candidate C-01,Party C,20201,3
Gujarat,GUJ-02,132323,106880,Candidate A-02,Party A,37131,1
Gujarat,GUJ-02,132323,106880,Candidate C-02,Party C,35538,2
Gujarat,GUJ-02,132323,106880,Candidate B-02,Party B,34211,3
Gujarat,GUJ-03,96708,68855,Candidate C-03,Party C,23466,1
Gujarat,GUJ-03,96708,68855,Candidate B-03,Party B,23414,2
Gujarat,GUJ-03,96708,68855,Candidate A-03,Party A,21975,3
Gujarat,GUJ-04,140159,104576,Candidate A-04,Party A,42835,1
Gujarat,GUJ-04,140159,104576,Candidate C-04,Party C,34086,2
Gujarat,GUJ-04,140159,104576,Candidate B-04,Party B,27655,3
Gujarat,GUJ-05,134971,83952,Candidate A-05,Party A,39594,1
Gujarat,GUJ-05,134971,83952,Candidate B-05,Party B,32538,2
Gujarat,GUJ-05,134971,83952,Candidate C-05,Party C,11820,3
Gujarat,GUJ-06,85037,62563,Candidate A-06,Party A,24271,1
Gujarat,GUJ-06,85037,62563,Candidate C-06,Party C,22158,2
Gujarat,GUJ-06,85037,62563,Candidate B-06,Party B,16134,3
Rajasthan,RAJ-01,108788,87951,Candidate A-01,Party A,39551,1
Rajasthan,RAJ-01,108788,87951,Candidate B-01,Party B,25435,2
Rajasthan,RAJ-01,108788,87951,Candidate C-01,Party C,22965,3
Rajasthan,RAJ-02,88796,57062,Candidate A-02,Party A,22946,1
Rajasthan,RAJ-02,88796,57062,Candidate C-02,Party C,19703,2
Rajasthan,RAJ-02,88796,57062,Candidate B-02,Party B,14413,3
Rajasthan,RAJ-03,132966,93921,Candidate B-03,Party B,33970,1
Rajasthan,RAJ-03,132966,93921,Candidate C-03,Party C,30605,2
Rajasthan,RAJ-03,132966,93921,Candidate A-03,Party A,29346,3
Rajasthan,RAJ-04,135189,82829,Candidate A-04,Party A,34685,1
Rajasthan,RAJ-04,135189,82829,Candidate B-04,Party B,32427,2
Rajasthan,RAJ-04,135189,82829,Candidate C-04,Party C,15717,3
Rajasthan,RAJ-05,95821,62179,Candidate A-05,Party A,28418,1
Rajasthan,RAJ-05,95821,62179,Candidate B-05,Party B,19132,2
Rajasthan,RAJ-05,95821,62179,Candidate C-05,Party C,14629,3
Rajasthan,RAJ-06,98880,81231,Candidate A-06,Party A,35412,1
Rajasthan,RAJ-06,98880,81231,Candidate B-06,Party B,28461,2
Rajasthan,RAJ-06,98880,81231,Candidate C-06,Party C,17358,3
Andhra Pradesh,AND-01,131723,87074,Candidate A-01,Party A,41719,1
Andhra Pradesh,AND-01,131723,87074,Candidate B-01,Party B,29951,2
Andhra Pradesh,AND-01,131723,87074,Candidate C-01,Party C,15404,3
Andhra Pradesh,AND-02,113711,92549,Candidate A-02,Party A,35285,1
Andhra Pradesh,AND-02,113711,92549,Candidate C-02,Party C,31382,2
Andhra Pradesh,AND-02,113711,92549,Candidate B-02,Party B,25882,3
Andhra Pradesh,AND-03,89196,59574,Candidate A-03,Party A,24180,1
Andhra Pradesh,AND-03,89196,59574,Candidate C-03,Party C,18903,2
Andhra Pradesh,AND-03,89196,59574,Candidate B-03,Party B,16491,3
Andhra Pradesh,AND-04,99432,57856,Candidate A-04,Party A,24728,1
Andhra Pradesh,AND-04,99432,57856,Candidate C-04,Party C,18698,2
Andhra Pradesh,AND-04,99432,57856,Candidate B-04,Party B,14430,3
Andhra Pradesh,AND-05,89417,72911,Candidate A-05,Party A,33155,1
Andhra Pradesh,AND-05,89417,72911,Candidate C-05,Party C,21431,2
Andhra Pradesh,AND-05,89417,72911,Candidate B-05,Party B,18325,3
Andhra Pradesh,AND-06,100597,65629,Candidate A-06,Party A,25423,1
Andhra Pradesh,AND-06,100597,65629,Candidate B-06,Party B,21413,2
Andhra Pradesh,AND-06,100597,65629,Candidate C-06,Party C,18793,3
